Entity,Source,By-Statement
Ajay Kumar,Telegraph,higher and technical education secretary ajaykumar said this at a news meet at suchana bhavan today, and added that jharkhand needed some 600 new colleges to improve its gross enrolment ratio (ger) of 8.
Ajay Kumar,Telegraph,higher and technical education secretary ajaykumar also asked for formal skill development training in miningbigger kebab mapthe great kabab factory, a restaurant chain run via franchisees by delhi-based umak hospitality, is planning an extension.
Akhil Arora,HT,providing state-of-the-art facilities free of cost to start-ups will give a jump-start to entrepreneurs of rajasthan and enable them to prove their mettle to be leaders not just in india, but across the world, said akhilarora , principal secretary of the state department of information technology and communication.
Akhil Arora,TOI,the startups and entrepreneurs will be provided free space, internet, and other infrastructure at the bhamashah techno hub, said akhilarora , principal secretary, department of it and communication.
Akhil Arora,TOI,weightage will be given to teams or individuals who have taken up startup ideas in the past and got to the prototype stage, said akhilarora , principal secretary, doit &c.
Akhilesh Yadav,IE,on the issue of corruption, akhileshyadav said it was a matter of concern to reduce corruption at all levels and if daily working is associated with latest technology, it could bring transparency.
Akhilesh Yadav,NIE,earlier, akhileshyadav said that samajwadis had set a precedence of development in the state by constructing this 302-km hi-tech expressway which would open new vistas of development in the state.
Akhilesh Yadav,NIE,earlier, akhileshyadav said that samajwadis had set a precedence of development in the state by constructing this 302-km hi-tech expressway which would open new vistas of development in the state.
Amarinder Singh,NIE,arguing the state's case further, amarindersingh said with the establishment of tissue culture and aeroponic technology at the centre of excellence for potato, at dhogri in jalandhar, the whole seed potato producing area in the state shall come under certified seed potato in the coming 4-5 years.
Amarinder Singh,NIE,venting his ire over kejriwal's 'audacity' to call the picture scientific proof of his 'demented logic', amarindersingh said had the delhi chief minister bothered to check the data, he would have thought a hundred times before coming out with such a reckless statement.
Amarinder Singh,HT,chief minister capt amarindersingh has already announced his governments intent to canalise all rivers of the state with technical support from the world bank and asian development bank to realign river streams and courses, besides strengthening and widening of embankments for a permanent solution.
Anand Kishore,HT,bseb chairman anandkishore said the board was in the process to acquire a de-duplication software to screen such candidates and maintain closer scrutiny.
Ananta Narayan Jena,Telegraph,the sister city link that began in 2012 will go a long way in strengthening collaboration between the two cities, one of which has a rich knowledge and technology-based economy, while another has a golden treasure of ancient art, culture, heritage and unique architecture, said mayor anantanarayanjena , defining bhubaneswar's transformation as a smart city in the recent past.
Ananta Narayan Jena,Telegraph,it would also help in direct and indirect employment generation avenues in and around the city, said mayor anantanarayanjena , adding that bhubaneswar had gained prominence especially after winning the smart city challenge in 2016.
